"","Category","Item","Scenario.1..Family.of.Four..Ontario.Works","Scenario.2..Family.of.Four..Full.Time.Minimum.Wage.Earner","Scenario.3..Family.of.Four..Median.Income","Scenario.4..Single.Parent.Household.with.2.Children..Ontario.Works","Scenario.5..One.person.Household..Ontario.Works","Scenario.6..One.Person.Household..Ontario.Disability.Support.Program","Scenario.7..One.Person.Household..Old.Age.Security..Guaranteed.Annual.Income.Supplement","Scenario.8..Married.Couple..Ontario.Disability.Support.Program","Scenario.9..Single.Person.Household..Full.Time.Minimum.Wage.Earner"
"1","Income","Income from Employment "," ","$2,600.00","$9,458.00","","","","","","$2,600.00"
"2","Income","Basic Allowance","$494.00","","","$360.00","$343.00","$672.00","","$1,341.00",""
"3","Income","Maximum Shelter Allowance","$756.00","","","$697.00","$390.00","$497.00","","$781.00",""
"4","Income","Old Age Security/Guaranteed Income Supplement"," ","","","","","","$1,618.00","",""
"5","Income","Ontario Guaranteed Annual Income System"," ","","","","","","$83.00","",""
"6","Income","Canada Child Benefit","$1,206.00","$1,162.00","$363.00","$1,207.00","","","","",""
"7","Income","GST/HST credit","$76.00","$76.00","","$76.00","$25.00","$32.00","$38.00","$50.00","$38.00"
"8","Income","Ontario Trillium Benefit","$197.00","$197.00","","$162.00","$86.00","$93.00","$130.00","$120.00","$62.00"
"9","Income","Canada Worker Benefit"," ","$80.00","","","","","","",""
"10","Employment Deduction","Employment Insurance deducted"," ","-$41.00","-$132.00","","","","","","-$41.00"
"11","Employment Deduction","Canada Pension Plan deducted"," ","-$132.00","-$428.00","","","","","","-$132.00"
"12","Income","Climate Action Incentive Payment","$62.00","$62.00","$62.00","$54.00","$31.00","$31.00","$31.00","$47.00","$31.00"
"13","Income","Total","$2,791.00","$4,004.00","$9,323.00","$2,556.00","$875.00","$1,325.00","$1,900.00","$2,339.00","$2,558.00"
"14","Selected Expense","Average Monthly Rent","$3,818.00","$3,818.00","$3,818.00","$2,885.00","$1,707.00","$2,082.00","$2,082.00","$2,082.00","$1,707.00"
"15","Selected Expense","Food","$1,141.00","$1,141.00","$1,141.00","$855.00","$392.00","$392.00","$279.00","$650.00","$323.00"
"16","Selected Expense","Childcare","$608.00","$608.00","$608.00","$608.00","","","","",""
"17","Selected Expense","Transportation","$440.00","$878.00","$878.00","$284.00","$156.00","$156.00","$128.00","$750.00","$594.00"
"18","Selected Expense","Total","$6,007.00","$6,445.00","$6,445.00","$4,632.00","$2,255.00","$2,630.00","$2,489.00","$3,482.00","$2,624.00"
"19","Other","Funds Remaining","-$3,216.00","-$2,441.00","$2,878.00","-$2,076.00","-$1,380.00","-$1,305.00","-$589.00","-$1,143.00","-$66.00"
"20","Other","Percentage of income required for rent","137%","95%","41%","113%","195%","157%","110%","89%","67%"
"21","Other","Percentage of income required to purchase healthy food","41%","28%","12%","33%","45%","30%","15%","28%","13%"
